Mês Ano;Órgão Superior;Órgão/Entidade Vinculada;Valor Empenhado;Valor Liquidado;Valor Pago;Valor Restos a Pagar Pagos
abr/25;26000 - Ministério da Educação;26257 - Centro Federal de Educação Tecnológica de Minas Gerais;4.714.182,40;59.440.563,21;43.618.274,85;1.212.664,94
jan/25;26000 - Ministério da Educação;26257 - Centro Federal de Educação Tecnológica de Minas Gerais;518.276.064,53;41.188.465,90;180.729,31;50.760.819,85
fev/25;26000 - Ministério da Educação;26257 - Centro Federal de Educação Tecnológica de Minas Gerais;5.371.278,14;44.858.617,67;38.005.485,35;8.244.994,89
jun/25;26000 - Ministério da Educação;26257 - Centro Federal de Educação Tecnológica de Minas Gerais;7.971.708,38;63.820.853,50;53.842.963,70;341.707,20
ago/25;26000 - Ministério da Educação;26257 - Centro Federal de Educação Tecnológica de Minas Gerais;9.130.575,88;6.856.387,79;51.488.224,99;483.551,40
mar/25;24000 - Ministério da Ciência, Tecnologia e Inovação;24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.;1.619.309,13;4.867.047,27;4.743.381,34;407.696,78
mai/25;24000 - Ministério da Ciência, Tecnologia e Inovação;24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.;4.631.118,24;6.016.240,95;5.977.228,00;30.822,74
jun/25;24000 - Ministério da Ciência, Tecnologia e Inovação;24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.;8.448.787,14;7.539.337,76;6.629.520,03;8.967,21
abr/25;24000 - Ministério da Ciência, Tecnologia e Inovação;24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.;-148.988,41;5.186.085,26;5.127.101,34;46.392,22
jul/25;24000 - Ministério da Ciência, Tecnologia e Inovação;24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.;4.095.693,86;5.216.191,77;6.269.711,99;6.260,47
fev/25;24000 - Ministério da Ciência, Tecnologia e Inovação;24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.;4.139.026,00;4.102.549,23;4.399.750,13;888.513,81
ago/25;24000 - Ministério da Ciência, Tecnologia e Inovação;24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.;2.072.133,57;3.207.764,08;4.971.516,64;0
jan/25;24000 - Ministério da Ciência, Tecnologia e Inovação;24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.;34.911.428,88;3.653.158,23;1.647.993,62;4.285.199,21
mai/25;26000 - Ministério da Educação;26201 - Colégio Pedro II;248.383.720,83;71.735.490,63;85.610.030,74;3.110.570,35
abr/25;26000 - Ministério da Educação;26201 - Colégio Pedro II;16.562.609,13;85.775.665,37;62.448.594,02;2.491.405,58
fev/25;26000 - Ministério da Educação;26201 - Colégio Pedro II;4.702.932,50;59.911.648,91;60.376.484,77;7.107.060,30
